country,country_code,year,literacy_rate_pct,Country Name_x,Country Code_x,Indicator Name_x,gdp_per_capita_usd,Country Name_y,Country Code_y,Indicator Name_y,poverty_rate_pct
Morocco,MAR,1994.0,42.0,Morocco,MAR,GDP per capita (current US$),1358.79443359375,,,,
Morocco,MAR,2004.0,52.0,Morocco,MAR,GDP per capita (current US$),2183.55541992188,,,,
Morocco,MAR,2008.0,55.0,Morocco,MAR,GDP per capita (current US$),3183.20043945313,,,,
Morocco,MAR,2009.0,56.0,Morocco,MAR,GDP per capita (current US$),3119.58862304688,,,,
Morocco,MAR,2011.0,67.0,Morocco,MAR,GDP per capita (current US$),3301.98876953125,,,,
Morocco,MAR,2012.0,69.0,Morocco,MAR,GDP per capita (current US$),3164.17724609375,,,,
Morocco,MAR,2014.0,76.0,Morocco,MAR,GDP per capita (current US$),3435.40698242188,,,,
Saudi Arabia,SAU,1992.0,71.0,Saudi Arabia,SAU,GDP per capita (current US$),11730.2687665244,,,,
Saudi Arabia,SAU,2000.0,79.0,Saudi Arabia,SAU,GDP per capita (current US$),11714.5623675159,,,,
Saudi Arabia,SAU,2004.0,83.0,Saudi Arabia,SAU,GDP per capita (current US$),13154.4978989446,,,,
Saudi Arabia,SAU,2013.0,94.0,Saudi Arabia,SAU,GDP per capita (current US$),27865.465604962,,,,
Saudi Arabia,SAU,2017.0,95.0,Saudi Arabia,SAU,GDP per capita (current US$),23929.2907135982,,,,
Saudi Arabia,SAU,2020.0,98.0,Saudi Arabia,SAU,GDP per capita (current US$),24338.8307301067,,,,
Tunisia,TUN,1984.0,48.0,Tunisia,TUN,GDP per capita (current US$),1143.2812867658,,,,
Tunisia,TUN,2004.0,74.0,Tunisia,TUN,GDP per capita (current US$),3067.41936376975,,,,
Tunisia,TUN,2007.0,77.0,Tunisia,TUN,GDP per capita (current US$),3726.91672935667,,,,
Tunisia,TUN,2008.0,78.0,Tunisia,TUN,GDP per capita (current US$),4255.05008019523,,,,
Tunisia,TUN,2010.0,79.0,Tunisia,TUN,GDP per capita (current US$),4291.86120891575,Tunisia,TUN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),3.1
Tunisia,TUN,2011.0,80.0,Tunisia,TUN,GDP per capita (current US$),4420.64772206537,,,,
Tunisia,TUN,2012.0,80.0,Tunisia,TUN,GDP per capita (current US$),4297.26782454273,,,,
Tunisia,TUN,2014.0,79.0,Tunisia,TUN,GDP per capita (current US$),4458.97895464547,,,,
Tunisia,TUN,2018.0,79.47511,Tunisia,TUN,GDP per capita (current US$),3628.10366464236,,,,
Tunisia,TUN,2019.0,81.0,Tunisia,TUN,GDP per capita (current US$),3528.87213306798,,,,
Tunisia,TUN,2021.0,83.68263,Tunisia,TUN,GDP per capita (current US$),3906.93926319391,Tunisia,TUN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.7
Tunisia,TUN,2023.0,86.24682,Tunisia,TUN,GDP per capita (current US$),3951.11683376921,,,,
Yemen,YEM,1994.0,37.0,,,,,,,,
,,1960.0,,Algeria,DZA,GDP per capita (current US$),238.392476666447,,,,
,,1960.0,,Libya,LBY,GDP per capita (current US$),269.038073094669,,,,
,,1960.0,,Morocco,MAR,GDP per capita (current US$),174.784133911133,,,,
,,1960.0,,Saudi Arabia,SAU,GDP per capita (current US$),717.796628958557,,,,
,,1961.0,,Algeria,DZA,GDP per capita (current US$),209.370672655334,,,,
,,1961.0,,Libya,LBY,GDP per capita (current US$),285.341580882777,,,,
,,1961.0,,Morocco,MAR,GDP per capita (current US$),169.318435668945,,,,
,,1961.0,,Saudi Arabia,SAU,GDP per capita (current US$),760.311740320004,,,,
,,1961.0,,Tunisia,TUN,GDP per capita (current US$),200.671835449762,,,,
,,1962.0,,Algeria,DZA,GDP per capita (current US$),169.60286272133,,,,
,,1962.0,,Libya,LBY,GDP per capita (current US$),382.084505727445,,,,
,,1962.0,,Morocco,MAR,GDP per capita (current US$),193.647811889648,,,,
,,1962.0,,Saudi Arabia,SAU,GDP per capita (current US$),812.926247668855,,,,
,,1962.0,,Tunisia,TUN,GDP per capita (current US$),201.419166932165,,,,
,,1963.0,,Algeria,DZA,GDP per capita (current US$),225.584660210993,,,,
,,1963.0,,Libya,LBY,GDP per capita (current US$),527.861939504427,,,,
,,1963.0,,Morocco,MAR,GDP per capita (current US$),210.635650634766,,,,
,,1963.0,,Saudi Arabia,SAU,GDP per capita (current US$),811.738274661234,,,,
,,1963.0,,Tunisia,TUN,GDP per capita (current US$),231.91940785127,,,,
,,1964.0,,Algeria,DZA,GDP per capita (current US$),238.863801545015,,,,
,,1964.0,,Libya,LBY,GDP per capita (current US$),764.898389420845,,,,
,,1964.0,,Morocco,MAR,GDP per capita (current US$),216.263046264648,,,,
,,1964.0,,Saudi Arabia,SAU,GDP per capita (current US$),840.480371460232,,,,
,,1964.0,,Tunisia,TUN,GDP per capita (current US$),228.484793689273,,,,
,,1965.0,,Algeria,DZA,GDP per capita (current US$),253.622059985778,,,,
,,1965.0,,Jordan,JOR,GDP per capita (current US$),545.513861689675,,,,
,,1965.0,,Libya,LBY,GDP per capita (current US$),1000.53474079103,,,,
,,1965.0,,Morocco,MAR,GDP per capita (current US$),221.967697143555,,,,
,,1965.0,,Saudi Arabia,SAU,GDP per capita (current US$),904.118334125664,,,,
,,1965.0,,Tunisia,TUN,GDP per capita (current US$),217.269013478937,,,,
,,1966.0,,Algeria,DZA,GDP per capita (current US$),241.44896961658,,,,
,,1966.0,,Jordan,JOR,GDP per capita (current US$),558.402981092455,,,,
,,1966.0,,Libya,LBY,GDP per capita (current US$),1250.60018821673,,,,
,,1966.0,,Morocco,MAR,GDP per capita (current US$),210.824432373047,,,,
,,1966.0,,Saudi Arabia,SAU,GDP per capita (current US$),960.744776733843,,,,
,,1966.0,,Tunisia,TUN,GDP per capita (current US$),223.750680246593,,,,
,,1967.0,,Algeria,DZA,GDP per capita (current US$),261.792442124002,,,,
,,1967.0,,Jordan,JOR,GDP per capita (current US$),496.922746235673,,,,
,,1967.0,,Libya,LBY,GDP per capita (current US$),1436.61803256942,,,,
,,1967.0,,Morocco,MAR,GDP per capita (current US$),217.304306030273,,,,
,,1967.0,,Saudi Arabia,SAU,GDP per capita (current US$),1031.60360297585,,,,
,,1967.0,,Tunisia,TUN,GDP per capita (current US$),228.044765187406,,,,
,,1968.0,,Algeria,DZA,GDP per capita (current US$),292.436036368561,,,,
,,1968.0,,Jordan,JOR,GDP per capita (current US$),408.842352820548,,,,
,,1968.0,,Libya,LBY,GDP per capita (current US$),1971.86632548697,,,,
,,1968.0,,Morocco,MAR,GDP per capita (current US$),227.120864868164,,,,
,,1968.0,,Saudi Arabia,SAU,GDP per capita (current US$),1275.70709426176,,,,
,,1968.0,,Tunisia,TUN,GDP per capita (current US$),248.91225549272,,,,
,,1969.0,,Algeria,DZA,GDP per capita (current US$),315.914655734237,,,,
,,1969.0,,Jordan,JOR,GDP per capita (current US$),474.427887073594,,,,
,,1969.0,,Libya,LBY,GDP per capita (current US$),2174.95045716041,,,,
,,1969.0,,Morocco,MAR,GDP per capita (current US$),246.799652099609,,,,
,,1969.0,,Saudi Arabia,SAU,GDP per capita (current US$),1312.73865737123,,,,
,,1969.0,,Tunisia,TUN,GDP per capita (current US$),257.738832521682,,,,
,,1970.0,,Algeria,DZA,GDP per capita (current US$),352.845766557928,,,,
,,1970.0,,Jordan,JOR,GDP per capita (current US$),408.596257509347,,,,
,,1970.0,,Libya,LBY,GDP per capita (current US$),2209.5811758058,,,,
,,1970.0,,Morocco,MAR,GDP per capita (current US$),260.26513671875,,,,
,,1970.0,,Saudi Arabia,SAU,GDP per capita (current US$),1509.43961165521,,,,
,,1970.0,,Tunisia,TUN,GDP per capita (current US$),280.476910228346,,,,
,,1971.0,,Algeria,DZA,GDP per capita (current US$),360.111081707845,,,,
,,1971.0,,Jordan,JOR,GDP per capita (current US$),412.218818849468,,,,
,,1971.0,,Libya,LBY,GDP per capita (current US$),2442.58280826718,,,,
,,1971.0,,Morocco,MAR,GDP per capita (current US$),279.167236328125,,,,
,,1971.0,,Saudi Arabia,SAU,GDP per capita (current US$),1929.30910330483,,,,
,,1971.0,,Tunisia,TUN,GDP per capita (current US$),320.272102901124,,,,
,,1972.0,,Algeria,DZA,GDP per capita (current US$),469.030996510511,,,,
,,1972.0,,Jordan,JOR,GDP per capita (current US$),459.874244108895,,,,
,,1972.0,,Libya,LBY,GDP per capita (current US$),2829.80145194559,,,,
,,1972.0,,Morocco,MAR,GDP per capita (current US$),317.074066162109,,,,
,,1972.0,,Saudi Arabia,SAU,GDP per capita (current US$),2474.38683208975,,,,
,,1972.0,,Tunisia,TUN,GDP per capita (current US$),414.626612581104,,,,
,,1973.0,,Algeria,DZA,GDP per capita (current US$),589.518126935221,,,,
,,1973.0,,Jordan,JOR,GDP per capita (current US$),530.783996638002,,,,
,,1973.0,,Libya,LBY,GDP per capita (current US$),3727.38549878198,,,,
,,1973.0,,Morocco,MAR,GDP per capita (current US$),380.527801513672,,,,
,,1973.0,,Saudi Arabia,SAU,GDP per capita (current US$),3640.08361192413,,,,
,,1973.0,,Tunisia,TUN,GDP per capita (current US$),493.172121667472,,,,
,,1974.0,,Algeria,DZA,GDP per capita (current US$),872.889277439184,,,,
,,1974.0,,Jordan,JOR,GDP per capita (current US$),651.095948462669,,,,
,,1974.0,,Libya,LBY,GDP per capita (current US$),6213.50027490617,,,,
,,1974.0,,Morocco,MAR,GDP per capita (current US$),456.592529296875,,,,
,,1974.0,,Saudi Arabia,SAU,GDP per capita (current US$),10503.4280777085,,,,
,,1974.0,,Tunisia,TUN,GDP per capita (current US$),623.75935280482,,,,
,,1975.0,,Algeria,DZA,GDP per capita (current US$),992.302037378411,,,,
,,1975.0,,Jordan,JOR,GDP per capita (current US$),717.7640972871,,,,
,,1975.0,,Libya,LBY,GDP per capita (current US$),5720.62691135285,,,,
,,1975.0,,Morocco,MAR,GDP per capita (current US$),521.838928222656,,,,
,,1975.0,,Saudi Arabia,SAU,GDP per capita (current US$),10265.6414406471,,,,
,,1975.0,,Tunisia,TUN,GDP per capita (current US$),741.35491566103,,,,
,,1976.0,,Algeria,DZA,GDP per capita (current US$),1080.38620675609,,,,
,,1976.0,,Jordan,JOR,GDP per capita (current US$),872.506019353732,,,,
,,1976.0,,Libya,LBY,GDP per capita (current US$),7017.74340734557,,,,
,,1976.0,,Morocco,MAR,GDP per capita (current US$),543.368469238281,,,,
,,1976.0,,Saudi Arabia,SAU,GDP per capita (current US$),13312.5119926546,,,,
,,1976.0,,Tunisia,TUN,GDP per capita (current US$),751.741946408618,,,,
,,1977.0,,Algeria,DZA,GDP per capita (current US$),1232.49418664321,,,,
,,1977.0,,Jordan,JOR,GDP per capita (current US$),1038.52230070493,,,,
,,1977.0,,Libya,LBY,GDP per capita (current US$),7783.46009141417,,,,
,,1977.0,,Morocco,MAR,GDP per capita (current US$),610.750366210938,,,,
,,1977.0,,Saudi Arabia,SAU,GDP per capita (current US$),14595.3739933329,,,,
,,1977.0,,Tunisia,TUN,GDP per capita (current US$),829.983963323177,,,,
,,1978.0,,Algeria,DZA,GDP per capita (current US$),1505.94222127977,,,,
,,1978.0,,Jordan,JOR,GDP per capita (current US$),1248.90326044987,,,,
,,1978.0,,Libya,LBY,GDP per capita (current US$),7251.83754156259,,,,
,,1978.0,,Morocco,MAR,GDP per capita (current US$),712.879638671875,,,,
,,1978.0,,Saudi Arabia,SAU,GDP per capita (current US$),14914.1542686138,,,,
,,1978.0,,Tunisia,TUN,GDP per capita (current US$),945.964678061001,,,,
,,1979.0,,Algeria,DZA,GDP per capita (current US$),1843.11929565984,,,,
,,1979.0,,Libya,LBY,GDP per capita (current US$),9442.75933267842,,,,
,,1979.0,,Morocco,MAR,GDP per capita (current US$),834.812133789063,,,,
,,1979.0,,Saudi Arabia,SAU,GDP per capita (current US$),19611.565126033,,,,
,,1979.0,,Tunisia,TUN,GDP per capita (current US$),1113.44445018775,,,,
,,1980.0,,Algeria,DZA,GDP per capita (current US$),2275.77971158899,,,,
,,1980.0,,Jordan,JOR,GDP per capita (current US$),1750.09801076564,,,,
,,1980.0,,Libya,LBY,GDP per capita (current US$),11959.5222690783,,,,
,,1980.0,,Morocco,MAR,GDP per capita (current US$),1109.88220214844,,,,
,,1980.0,,Saudi Arabia,SAU,GDP per capita (current US$),27205.6452285141,,,,
,,1980.0,,Tunisia,TUN,GDP per capita (current US$),1323.62643763339,,,,
,,1981.0,,Algeria,DZA,GDP per capita (current US$),2307.33434430543,,,,
,,1981.0,,Jordan,JOR,GDP per capita (current US$),1885.14842198943,,,,
,,1981.0,,Libya,LBY,GDP per capita (current US$),10044.0410042727,,,,
,,1981.0,,Morocco,MAR,GDP per capita (current US$),884.443237304688,,,,
,,1981.0,,Saudi Arabia,SAU,GDP per capita (current US$),28703.35585508,,,,
,,1981.0,,Tunisia,TUN,GDP per capita (current US$),1247.12801268551,,,,
,,1982.0,,Algeria,DZA,GDP per capita (current US$),2274.87800990349,,,,
,,1982.0,,Jordan,JOR,GDP per capita (current US$),1928.87589643338,,,,
,,1982.0,,Libya,LBY,GDP per capita (current US$),9063.69851267735,,,,
,,1982.0,,Saudi Arabia,SAU,GDP per capita (current US$),22454.4843169614,,,,
,,1982.0,,Tunisia,TUN,GDP per capita (current US$),1177.30518554913,,,,
,,1983.0,,Algeria,DZA,GDP per capita (current US$),2373.82511968473,,,,
,,1983.0,,Jordan,JOR,GDP per capita (current US$),1939.33654498872,,,,
,,1983.0,,Libya,LBY,GDP per capita (current US$),8927.36442785362,,,,
,,1983.0,,Morocco,MAR,GDP per capita (current US$),766.529602050781,,,,
,,1983.0,,Saudi Arabia,SAU,GDP per capita (current US$),17809.5527471054,,,,
,,1983.0,,Tunisia,TUN,GDP per capita (current US$),1183.8417233031,,,,
,,1984.0,,,,,,Morocco,MAR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),22.4
,,1984.0,,Algeria,DZA,GDP per capita (current US$),2524.38071403143,,,,
,,1984.0,,Jordan,JOR,GDP per capita (current US$),1871.09074979987,,,,
,,1984.0,,Morocco,MAR,GDP per capita (current US$),681.909729003906,,,,
,,1984.0,,Saudi Arabia,SAU,GDP per capita (current US$),15541.1312184609,,,,
,,1985.0,,,,,,Tunisia,TUN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),21.6
,,1985.0,,Algeria,DZA,GDP per capita (current US$),2632.51711109075,,,,
,,1985.0,,Jordan,JOR,GDP per capita (current US$),1797.02877146361,,,,
,,1985.0,,Libya,LBY,GDP per capita (current US$),8087.36306792904,,,,
,,1985.0,,Morocco,MAR,GDP per capita (current US$),673.2900390625,,,,
,,1985.0,,Saudi Arabia,SAU,GDP per capita (current US$),12745.41992535,,,,
,,1985.0,,Tunisia,TUN,GDP per capita (current US$),1134.99813055736,,,,
,,1986.0,,,,,,Jordan,JOR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.0
,,1986.0,,Algeria,DZA,GDP per capita (current US$),2800.20270812187,,,,
,,1986.0,,Jordan,JOR,GDP per capita (current US$),2200.10278230881,,,,
,,1986.0,,Libya,LBY,GDP per capita (current US$),6018.91345215523,,,,
,,1986.0,,Morocco,MAR,GDP per capita (current US$),855.169311523438,,,,
,,1986.0,,Saudi Arabia,SAU,GDP per capita (current US$),10078.2896080512,,,,
,,1986.0,,Tunisia,TUN,GDP per capita (current US$),1186.50651525734,,,,
,,1987.0,,Jordan,JOR,GDP per capita (current US$),2216.87045179385,,,,
,,1987.0,,Libya,LBY,GDP per capita (current US$),6464.7328401846,,,,
,,1987.0,,Morocco,MAR,GDP per capita (current US$),937.457153320313,,,,
,,1987.0,,Saudi Arabia,SAU,GDP per capita (current US$),9385.98469519899,,,,
,,1987.0,,Tunisia,TUN,GDP per capita (current US$),1244.76663577347,,,,
,,1988.0,,,,,,Algeria,DZA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),12.3
,,1988.0,,Algeria,DZA,GDP per capita (current US$),2450.87242078961,,,,
,,1988.0,,Jordan,JOR,GDP per capita (current US$),1965.98031813995,,,,
,,1988.0,,Lebanon,LBN,GDP per capita (current US$),959.153901867443,,,,
,,1988.0,,Libya,LBY,GDP per capita (current US$),5736.28243992278,,,,
,,1988.0,,Morocco,MAR,GDP per capita (current US$),1086.03527832031,,,,
,,1988.0,,Saudi Arabia,SAU,GDP per capita (current US$),9165.49615323397,,,,
,,1988.0,,Tunisia,TUN,GDP per capita (current US$),1266.07583258953,,,,
,,1989.0,,Algeria,DZA,GDP per capita (current US$),2247.4602712492,,,,
,,1989.0,,Jordan,JOR,GDP per capita (current US$),1260.2518650001,,,,
,,1989.0,,Lebanon,LBN,GDP per capita (current US$),771.001121245521,,,,
,,1989.0,,Libya,LBY,GDP per capita (current US$),5792.5791631313,,,,
,,1989.0,,Morocco,MAR,GDP per capita (current US$),1091.27624511719,,,,
,,1989.0,,Saudi Arabia,SAU,GDP per capita (current US$),9413.58119352769,,,,
,,1989.0,,Tunisia,TUN,GDP per capita (current US$),1239.23860226784,,,,
,,1990.0,,,,,,Morocco,MAR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),11.2
,,1990.0,,,,,,Tunisia,TUN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),16.3
,,1990.0,,Algeria,DZA,GDP per capita (current US$),2445.18332740258,,,,
,,1990.0,,Jordan,JOR,GDP per capita (current US$),1148.59005469899,,,,
,,1990.0,,Lebanon,LBN,GDP per capita (current US$),789.526338484738,,,,
,,1990.0,,Libya,LBY,GDP per capita (current US$),6502.27886565421,,,,
,,1990.0,,Morocco,MAR,GDP per capita (current US$),1229.07104492188,,,,
,,1990.0,,Saudi Arabia,SAU,GDP per capita (current US$),11054.7495049666,,,,
,,1990.0,,Tunisia,TUN,GDP per capita (current US$),1476.43160477311,,,,
,,1991.0,,Algeria,DZA,GDP per capita (current US$),1759.11201648229,,,,
,,1991.0,,Jordan,JOR,GDP per capita (current US$),1109.65564611997,,,,
,,1991.0,,Lebanon,LBN,GDP per capita (current US$),1278.42125745633,,,,
,,1991.0,,Libya,LBY,GDP per capita (current US$),7039.83391970596,,,,
,,1991.0,,Morocco,MAR,GDP per capita (current US$),1292.23376464844,,,,
,,1991.0,,Saudi Arabia,SAU,GDP per capita (current US$),11847.1699534218,,,,
,,1991.0,,Tunisia,TUN,GDP per capita (current US$),1537.87916511306,,,,
,,1992.0,,,,,,Jordan,JOR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),1.1
,,1992.0,,Algeria,DZA,GDP per capita (current US$),1802.69300801289,,,,
,,1992.0,,Jordan,JOR,GDP per capita (current US$),1286.6347360596,,,,
,,1992.0,,Lebanon,LBN,GDP per capita (current US$),1559.38100628446,,,,
,,1992.0,,Libya,LBY,GDP per capita (current US$),7302.68908679226,,,,
,,1992.0,,Morocco,MAR,GDP per capita (current US$),1327.02954101563,,,,
,,1992.0,,Tunisia,TUN,GDP per capita (current US$),1784.81850188268,,,,
,,1993.0,,Algeria,DZA,GDP per capita (current US$),1831.04800976449,,,,
,,1993.0,,Jordan,JOR,GDP per capita (current US$),1289.4145431007,,,,
,,1993.0,,Lebanon,LBN,GDP per capita (current US$),2078.63864215562,,,,
,,1993.0,,Libya,LBY,GDP per capita (current US$),6477.87035840641,,,,
,,1993.0,,Morocco,MAR,GDP per capita (current US$),1226.43054199219,,,,
,,1993.0,,Saudi Arabia,SAU,GDP per capita (current US$),10884.8607880777,,,,
,,1993.0,,Tunisia,TUN,GDP per capita (current US$),1649.18537309075,,,,
,,1994.0,,Algeria,DZA,GDP per capita (current US$),1525.54061760288,,,,
,,1994.0,,Jordan,JOR,GDP per capita (current US$),1367.18721776691,,,,
,,1994.0,,Lebanon,LBN,GDP per capita (current US$),2467.76942720577,,,,
,,1994.0,,Libya,LBY,GDP per capita (current US$),5933.29121354077,,,,
,,1994.0,,Saudi Arabia,SAU,GDP per capita (current US$),10601.9196697805,,,,
,,1994.0,,Tunisia,TUN,GDP per capita (current US$),1733.46614673506,,,,
,,1995.0,,,,,,Algeria,DZA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),11.8
,,1995.0,,,,,,Tunisia,TUN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),17.4
,,1995.0,,Algeria,DZA,GDP per capita (current US$),1466.94806760415,,,,
,,1995.0,,Jordan,JOR,GDP per capita (current US$),1415.71151592128,,,,
,,1995.0,,Lebanon,LBN,GDP per capita (current US$),2958.74263957462,,,,
,,1995.0,,Libya,LBY,GDP per capita (current US$),5205.25706378741,,,,
,,1995.0,,Morocco,MAR,GDP per capita (current US$),1466.78820800781,,,,
,,1995.0,,Saudi Arabia,SAU,GDP per capita (current US$),10786.4008952769,,,,
,,1995.0,,Tunisia,TUN,GDP per capita (current US$),1968.16600944373,,,,
,,1996.0,,Algeria,DZA,GDP per capita (current US$),1616.83198721285,,,,
,,1996.0,,Jordan,JOR,GDP per capita (current US$),1410.17424189419,,,,
,,1996.0,,Lebanon,LBN,GDP per capita (current US$),3393.05090749359,,,,
,,1996.0,,Libya,LBY,GDP per capita (current US$),5591.02027544558,,,,
,,1996.0,,Morocco,MAR,GDP per capita (current US$),1596.83239746094,,,,
,,1996.0,,Saudi Arabia,SAU,GDP per capita (current US$),11471.5045960191,,,,
,,1996.0,,Tunisia,TUN,GDP per capita (current US$),2107.40815649257,,,,
,,1997.0,,,,,,Jordan,JOR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.0
,,1997.0,,Algeria,DZA,GDP per capita (current US$),1628.76100561506,,,,
,,1997.0,,Jordan,JOR,GDP per capita (current US$),1435.87593846863,,,,
,,1997.0,,Lebanon,LBN,GDP per capita (current US$),3834.0590787531,,,,
,,1997.0,,Libya,LBY,GDP per capita (current US$),6061.81366033598,,,,
,,1997.0,,Morocco,MAR,GDP per capita (current US$),1426.30114746094,,,,
,,1997.0,,Saudi Arabia,SAU,GDP per capita (current US$),11545.3455998551,,,,
,,1997.0,,Tunisia,TUN,GDP per capita (current US$),2202.06090620956,,,,
,,1998.0,,,,,,Morocco,MAR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),17.5
,,1998.0,,Algeria,DZA,GDP per capita (current US$),1603.36623200836,,,,
,,1998.0,,Jordan,JOR,GDP per capita (current US$),1532.11380395602,,,,
,,1998.0,,Lebanon,LBN,GDP per capita (current US$),4124.85527892575,,,,
,,1998.0,,Libya,LBY,GDP per capita (current US$),5301.08354775559,,,,
,,1998.0,,Morocco,MAR,GDP per capita (current US$),1668.49755859375,,,,
,,1998.0,,Saudi Arabia,SAU,GDP per capita (current US$),9836.05729768574,,,,
,,1998.0,,Tunisia,TUN,GDP per capita (current US$),2285.01933541864,,,,
,,1999.0,,Algeria,DZA,GDP per capita (current US$),1596.11822239025,,,,
,,1999.0,,Jordan,JOR,GDP per capita (current US$),1544.58750592979,,,,
,,1999.0,,Lebanon,LBN,GDP per capita (current US$),4086.93872789633,,,,
,,1999.0,,Libya,LBY,GDP per capita (current US$),6894.51875534758,,,,
,,1999.0,,Morocco,MAR,GDP per capita (current US$),1635.65673828125,,,,
,,1999.0,,Saudi Arabia,SAU,GDP per capita (current US$),10452.1899400479,,,,
,,1999.0,,Tunisia,TUN,GDP per capita (current US$),2376.06566791596,,,,
,,2000.0,,,,,,Morocco,MAR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),16.8
,,2000.0,,,,,,Tunisia,TUN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),10.5
,,2000.0,,Algeria,DZA,GDP per capita (current US$),1772.92869122761,,,,
,,2000.0,,Jordan,JOR,GDP per capita (current US$),1570.61002940477,,,,
,,2000.0,,Lebanon,LBN,GDP per capita (current US$),3986.83513941026,,,,
,,2000.0,,Libya,LBY,GDP per capita (current US$),7214.10040377084,,,,
,,2000.0,,Morocco,MAR,GDP per capita (current US$),1499.107421875,,,,
,,2000.0,,Tunisia,TUN,GDP per capita (current US$),2199.04465936314,,,,
,,2001.0,,Algeria,DZA,GDP per capita (current US$),1896.30020878013,,,,
,,2001.0,,Jordan,JOR,GDP per capita (current US$),1632.29454010563,,,,
,,2001.0,,Lebanon,LBN,GDP per capita (current US$),4009.55929751102,,,,
,,2001.0,,Libya,LBY,GDP per capita (current US$),6312.80030498965,,,,
,,2001.0,,Morocco,MAR,GDP per capita (current US$),1506.24523925781,,,,
,,2001.0,,Saudi Arabia,SAU,GDP per capita (current US$),10805.311325122,,,,
,,2001.0,,Tunisia,TUN,GDP per capita (current US$),2235.71981624751,,,,
,,2002.0,,,,,,Jordan,JOR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),1.0
,,2002.0,,Jordan,JOR,GDP per capita (current US$),1706.26744384401,,,,
,,2002.0,,Lebanon,LBN,GDP per capita (current US$),4290.85283803266,,,,
,,2002.0,,Libya,LBY,GDP per capita (current US$),3718.29434696755,,,,
,,2002.0,,Morocco,MAR,GDP per capita (current US$),1596.02062988281,,,,
,,2002.0,,Saudi Arabia,SAU,GDP per capita (current US$),10586.0543471363,,,,
,,2002.0,,Tunisia,TUN,GDP per capita (current US$),2320.7723805785,,,,
